,score,variable
0,0.5651077380981554,"['V3', 'V13', 'V18', 'V19', 'V14', 'V21', 'V12', 'V20', 'V7', 'V15', 'V27', 'V24', 'V26', 'V25', 'V11', 'V30', 'V4', 'V5', 'V10', 'V17']"
1,0.6143408243511944,"['V27', 'V29', 'V8', 'V19', 'V15', 'V20', 'V17', 'V9', 'V11', 'V30', 'V1', 'V14', 'V10', 'V18', 'V22', 'V5', 'V3', 'V25', 'V28', 'V12']"
2,0.6143408243511944,"['V30', 'V29', 'V25', 'V7', 'V12', 'V8', 'V26', 'V20', 'V11', 'V13', 'V4', 'V22', 'V18', 'V9', 'V3', 'V24', 'V27', 'V6', 'V2', 'V17']"
3,0.4994636230941034,"['V22', 'V13', 'V8', 'V24', 'V25', 'V7', 'V10', 'V18', 'V27', 'V29', 'V6', 'V3', 'V23', 'V1', 'V15', 'V9', 'V21', 'V2', 'V16', 'V20']"
4,0.7128069968572724,"['V25', 'V23', 'V7', 'V9', 'V30', 'V29', 'V21', 'V6', 'V20', 'V3', 'V14', 'V11', 'V22', 'V16', 'V17', 'V12', 'V18', 'V13', 'V24', 'V1']"
5,0.5651077380981554,"['V18', 'V8', 'V13', 'V1', 'V22', 'V23', 'V2', 'V11', 'V29', 'V21', 'V14', 'V24', 'V7', 'V20', 'V9', 'V30', 'V5', 'V28', 'V10', 'V19']"
6,0.7292180256082854,"['V20', 'V12', 'V14', 'V9', 'V21', 'V6', 'V18', 'V3', 'V4', 'V17', 'V22', 'V15', 'V23', 'V11', 'V27', 'V29', 'V2', 'V25', 'V16', 'V19']"
7,0.6963959681062595,"['V14', 'V7', 'V4', 'V26', 'V9', 'V2', 'V12', 'V27', 'V21', 'V22', 'V30', 'V29', 'V25', 'V17', 'V23', 'V16', 'V20', 'V11', 'V15', 'V10']"
8,0.6799849393552464,"['V29', 'V8', 'V16', 'V26', 'V4', 'V7', 'V24', 'V2', 'V19', 'V15', 'V12', 'V9', 'V6', 'V13', 'V28', 'V25', 'V10', 'V27', 'V30', 'V23']"
9,0.4994636230941034,"['V3', 'V28', 'V20', 'V14', 'V12', 'V13', 'V21', 'V8', 'V22', 'V30', 'V27', 'V9', 'V26', 'V19', 'V16', 'V15', 'V18', 'V29', 'V2', 'V7']"
10,0.7128069968572724,"['V17', 'V3', 'V30', 'V22', 'V5', 'V29', 'V6', 'V14', 'V12', 'V7', 'V4', 'V10', 'V13', 'V26', 'V25', 'V18', 'V21', 'V27', 'V28', 'V16']"
11,0.6471628818532205,"['V2', 'V6', 'V17', 'V12', 'V29', 'V5', 'V16', 'V30', 'V25', 'V21', 'V15', 'V10', 'V27', 'V3', 'V19', 'V4', 'V7', 'V1', 'V24', 'V14']"
12,0.4994636230941034,"['V1', 'V5', 'V20', 'V26', 'V22', 'V24', 'V11', 'V13', 'V18', 'V16', 'V10', 'V7', 'V8', 'V29', 'V9', 'V19', 'V15', 'V21', 'V6', 'V2']"
13,0.5815187668491684,"['V18', 'V4', 'V10', 'V14', 'V3', 'V26', 'V15', 'V30', 'V23', 'V24', 'V12', 'V19', 'V13', 'V16', 'V20', 'V22', 'V21', 'V11', 'V1', 'V6']"
14,0.4994636230941034,"['V7', 'V19', 'V13', 'V2', 'V21', 'V27', 'V23', 'V3', 'V25', 'V1', 'V8', 'V16', 'V12', 'V20', 'V29', 'V24', 'V17', 'V30', 'V22', 'V5']"
15,0.6799849393552464,"['V15', 'V9', 'V20', 'V6', 'V2', 'V4', 'V30', 'V28', 'V25', 'V19', 'V29', 'V11', 'V27', 'V1', 'V24', 'V17', 'V3', 'V5', 'V16', 'V23']"
16,0.6635739106042333,"['V15', 'V12', 'V8', 'V10', 'V11', 'V22', 'V21', 'V17', 'V30', 'V13', 'V7', 'V23', 'V1', 'V19', 'V24', 'V6', 'V14', 'V27', 'V2', 'V3']"
17,0.5979297956001814,"['V10', 'V26', 'V7', 'V27', 'V4', 'V19', 'V9', 'V5', 'V23', 'V3', 'V14', 'V11', 'V17', 'V18', 'V21', 'V1', 'V20', 'V6', 'V29', 'V25']"
18,0.6635739106042333,"['V8', 'V17', 'V9', 'V14', 'V3', 'V12', 'V27', 'V25', 'V26', 'V7', 'V5', 'V16', 'V11', 'V1', 'V23', 'V21', 'V19', 'V10', 'V6', 'V13']"
19,0.5158746518451164,"['V12', 'V3', 'V24', 'V20', 'V22', 'V23', 'V2', 'V25', 'V6', 'V26', 'V10', 'V7', 'V15', 'V27', 'V19', 'V5', 'V11', 'V4', 'V28', 'V16']"
20,0.5979297956001814,"['V6', 'V17', 'V16', 'V9', 'V1', 'V20', 'V5', 'V4', 'V26', 'V15', 'V13', 'V29', 'V19', 'V25', 'V2', 'V24', 'V22', 'V30', 'V14', 'V3']"
21,0.5486967093471424,"['V30', 'V7', 'V27', 'V15', 'V2', 'V23', 'V17', 'V13', 'V1', 'V20', 'V28', 'V5', 'V10', 'V25', 'V4', 'V29', 'V16', 'V22', 'V8', 'V19']"
22,0.5979297956001814,"['V1', 'V4', 'V11', 'V16', 'V15', 'V29', 'V6', 'V25', 'V3', 'V7', 'V14', 'V5', 'V23', 'V10', 'V24', 'V22', 'V20', 'V9', 'V13', 'V17']"
23,0.6471628818532205,"['V25', 'V23', 'V29', 'V28', 'V11', 'V21', 'V13', 'V16', 'V2', 'V30', 'V24', 'V10', 'V17', 'V12', 'V4', 'V5', 'V8', 'V19', 'V18', 'V3']"
24,0.6963959681062595,"['V22', 'V1', 'V15', 'V23', 'V11', 'V13', 'V14', 'V9', 'V5', 'V4', 'V18', 'V6', 'V12', 'V16', 'V20', 'V30', 'V10', 'V27', 'V28', 'V25']"
25,0.4994724254361283,"['V20', 'V28', 'V22', 'V12', 'V9', 'V29', 'V16', 'V18', 'V23', 'V4', 'V21', 'V1', 'V24', 'V30', 'V3', 'V27', 'V26', 'V15', 'V19', 'V10']"
26,0.6307518531022074,"['V23', 'V13', 'V2', 'V20', 'V1', 'V25', 'V22', 'V10', 'V14', 'V12', 'V15', 'V28', 'V30', 'V4', 'V5', 'V17', 'V29', 'V6', 'V19', 'V16']"
27,0.5322856805961294,"['V12', 'V1', 'V19', 'V27', 'V22', 'V13', 'V23', 'V30', 'V28', 'V7', 'V25', 'V16', 'V20', 'V5', 'V4', 'V3', 'V11', 'V2', 'V17', 'V8']"
28,0.5815187668491684,"['V30', 'V3', 'V24', 'V18', 'V17', 'V22', 'V27', 'V13', 'V20', 'V29', 'V23', 'V4', 'V11', 'V25', 'V6', 'V16', 'V26', 'V14', 'V12', 'V2']"
29,0.5486967093471424,"['V8', 'V21', 'V17', 'V7', 'V11', 'V9', 'V20', 'V14', 'V27', 'V2', 'V19', 'V16', 'V3', 'V13', 'V5', 'V29', 'V6', 'V28', 'V18', 'V23']"
30,0.5486967093471424,"['V14', 'V24', 'V25', 'V29', 'V3', 'V16', 'V19', 'V2', 'V13', 'V28', 'V7', 'V23', 'V8', 'V15', 'V21', 'V5', 'V20', 'V6', 'V10', 'V26']"
31,0.6471628818532205,"['V21', 'V7', 'V30', 'V29', 'V5', 'V24', 'V9', 'V18', 'V15', 'V10', 'V13', 'V12', 'V6', 'V4', 'V1', 'V19', 'V20', 'V23', 'V8', 'V2']"
32,0.8440952268653764,"['V11', 'V10', 'V5', 'V19', 'V14', 'V22', 'V30', 'V23', 'V9', 'V8', 'V3', 'V6', 'V12', 'V1', 'V7', 'V17', 'V16', 'V27', 'V2', 'V15']"
33,0.6143408243511944,"['V26', 'V5', 'V28', 'V10', 'V3', 'V2', 'V22', 'V27', 'V11', 'V23', 'V25', 'V24', 'V16', 'V14', 'V21', 'V4', 'V15', 'V1', 'V13', 'V30']"
34,0.6307518531022074,"['V3', 'V16', 'V28', 'V6', 'V14', 'V11', 'V20', 'V18', 'V10', 'V7', 'V30', 'V9', 'V19', 'V23', 'V21', 'V26', 'V5', 'V12', 'V8', 'V15']"
35,0.5815187668491684,"['V16', 'V11', 'V17', 'V4', 'V20', 'V28', 'V15', 'V5', 'V7', 'V24', 'V23', 'V22', 'V10', 'V19', 'V12', 'V26', 'V27', 'V14', 'V21', 'V13']"
36,0.5158746518451164,"['V22', 'V7', 'V2', 'V24', 'V25', 'V27', 'V20', 'V1', 'V5', 'V16', 'V11', 'V13', 'V3', 'V19', 'V30', 'V15', 'V23', 'V18', 'V9', 'V8']"
37,0.6635739106042333,"['V16', 'V28', 'V25', 'V21', 'V15', 'V10', 'V23', 'V7', 'V9', 'V5', 'V17', 'V24', 'V3', 'V11', 'V19', 'V12', 'V29', 'V6', 'V27', 'V30']"
38,0.5815187668491684,"['V5', 'V2', 'V3', 'V22', 'V27', 'V11', 'V24', 'V28', 'V26', 'V4', 'V30', 'V21', 'V25', 'V13', 'V29', 'V8', 'V15', 'V19', 'V6', 'V1']"
39,0.6799849393552464,"['V12', 'V1', 'V25', 'V9', 'V28', 'V10', 'V15', 'V21', 'V23', 'V24', 'V13', 'V27', 'V11', 'V30', 'V22', 'V14', 'V8', 'V7', 'V29', 'V18']"
40,0.4994636230941034,"['V1', 'V5', 'V19', 'V8', 'V9', 'V21', 'V3', 'V29', 'V6', 'V14', 'V24', 'V11', 'V22', 'V28', 'V27', 'V2', 'V10', 'V25', 'V4', 'V16']"
41,0.6143408243511944,"['V2', 'V27', 'V6', 'V11', 'V30', 'V21', 'V18', 'V7', 'V17', 'V1', 'V26', 'V25', 'V15', 'V29', 'V16', 'V8', 'V12', 'V20', 'V24', 'V13']"
42,0.7292180256082854,"['V18', 'V6', 'V16', 'V5', 'V12', 'V27', 'V26', 'V3', 'V10', 'V23', 'V4', 'V11', 'V9', 'V20', 'V17', 'V24', 'V25', 'V21', 'V28', 'V14']"
43,0.6635739106042333,"['V28', 'V30', 'V17', 'V7', 'V19', 'V29', 'V26', 'V4', 'V20', 'V8', 'V24', 'V3', 'V23', 'V18', 'V6', 'V27', 'V15', 'V9', 'V16', 'V12']"
44,0.6307518531022074,"['V28', 'V23', 'V29', 'V15', 'V16', 'V30', 'V10', 'V12', 'V25', 'V1', 'V7', 'V24', 'V17', 'V27', 'V14', 'V11', 'V20', 'V19', 'V8', 'V6']"
45,0.7292180256082854,"['V19', 'V12', 'V18', 'V6', 'V22', 'V24', 'V30', 'V10', 'V27', 'V16', 'V13', 'V26', 'V29', 'V14', 'V11', 'V17', 'V5', 'V28', 'V21', 'V20']"
46,0.4994636230941034,"['V16', 'V3', 'V10', 'V18', 'V12', 'V26', 'V29', 'V2', 'V23', 'V13', 'V28', 'V8', 'V6', 'V14', 'V24', 'V30', 'V27', 'V4', 'V20', 'V17']"
47,0.7128069968572724,"['V22', 'V16', 'V15', 'V19', 'V30', 'V18', 'V1', 'V4', 'V27', 'V21', 'V20', 'V29', 'V7', 'V12', 'V25', 'V17', 'V6', 'V13', 'V23', 'V10']"
48,0.6963959681062595,"['V25', 'V16', 'V5', 'V6', 'V9', 'V12', 'V13', 'V22', 'V30', 'V21', 'V1', 'V24', 'V8', 'V27', 'V2', 'V14', 'V7', 'V29', 'V3', 'V18']"
49,0.5486967093471424,"['V26', 'V9', 'V5', 'V20', 'V21', 'V16', 'V29', 'V22', 'V24', 'V2', 'V19', 'V13', 'V6', 'V1', 'V30', 'V8', 'V15', 'V17', 'V23', 'V14']"
50,0.6799849393552464,"['V11', 'V12', 'V10', 'V14', 'V19', 'V7', 'V29', 'V6', 'V22', 'V30', 'V4', 'V16', 'V5', 'V18', 'V25', 'V9', 'V17', 'V3', 'V28', 'V23']"
51,0.6307518531022074,"['V13', 'V21', 'V14', 'V2', 'V23', 'V3', 'V1', 'V5', 'V30', 'V28', 'V10', 'V29', 'V7', 'V16', 'V22', 'V17', 'V24', 'V6', 'V20', 'V25']"
52,0.5486967093471424,"['V14', 'V17', 'V2', 'V18', 'V11', 'V9', 'V13', 'V5', 'V30', 'V26', 'V24', 'V12', 'V7', 'V3', 'V16', 'V10', 'V27', 'V22', 'V20', 'V28']"
53,0.7948621406123374,"['V3', 'V14', 'V11', 'V6', 'V24', 'V22', 'V10', 'V19', 'V15', 'V17', 'V8', 'V1', 'V27', 'V2', 'V21', 'V9', 'V12', 'V23', 'V16', 'V25']"
54,0.6143408243511944,"['V8', 'V24', 'V14', 'V27', 'V4', 'V12', 'V13', 'V9', 'V28', 'V17', 'V5', 'V20', 'V10', 'V25', 'V11', 'V16', 'V22', 'V30', 'V15', 'V3']"
55,0.6963959681062595,"['V2', 'V19', 'V1', 'V28', 'V22', 'V14', 'V26', 'V13', 'V5', 'V12', 'V8', 'V6', 'V25', 'V4', 'V16', 'V15', 'V17', 'V20', 'V18', 'V24']"
56,0.5158746518451164,"['V26', 'V29', 'V4', 'V19', 'V17', 'V11', 'V1', 'V13', 'V23', 'V27', 'V7', 'V28', 'V14', 'V16', 'V5', 'V10', 'V6', 'V20', 'V21', 'V25']"
57,0.5651077380981554,"['V23', 'V17', 'V18', 'V8', 'V4', 'V10', 'V28', 'V13', 'V14', 'V21', 'V26', 'V6', 'V27', 'V1', 'V22', 'V24', 'V15', 'V9', 'V7', 'V16']"
58,0.6963959681062595,"['V21', 'V3', 'V9', 'V10', 'V30', 'V17', 'V28', 'V7', 'V29', 'V26', 'V1', 'V5', 'V11', 'V19', 'V2', 'V16', 'V15', 'V25', 'V18', 'V20']"
59,0.6143408243511944,"['V23', 'V3', 'V21', 'V11', 'V25', 'V30', 'V12', 'V27', 'V29', 'V22', 'V4', 'V6', 'V13', 'V1', 'V14', 'V24', 'V7', 'V2', 'V10', 'V26']"
60,0.7456290543592985,"['V25', 'V7', 'V1', 'V14', 'V4', 'V19', 'V24', 'V11', 'V9', 'V17', 'V3', 'V29', 'V26', 'V8', 'V6', 'V28', 'V2', 'V10', 'V22', 'V30']"
61,0.6635739106042333,"['V7', 'V5', 'V4', 'V9', 'V1', 'V18', 'V20', 'V15', 'V3', 'V6', 'V13', 'V26', 'V11', 'V27', 'V23', 'V2', 'V8', 'V24', 'V30', 'V12']"
62,0.4994636230941034,"['V3', 'V15', 'V2', 'V29', 'V4', 'V27', 'V8', 'V26', 'V22', 'V16', 'V20', 'V30', 'V10', 'V6', 'V21', 'V17', 'V18', 'V28', 'V5', 'V9']"
63,0.4994636230941034,"['V6', 'V24', 'V8', 'V14', 'V7', 'V16', 'V10', 'V22', 'V20', 'V17', 'V27', 'V2', 'V23', 'V5', 'V13', 'V19', 'V25', 'V9', 'V26', 'V15']"
64,0.7948621406123374,"['V24', 'V12', 'V2', 'V7', 'V15', 'V29', 'V19', 'V21', 'V27', 'V3', 'V16', 'V11', 'V9', 'V1', 'V14', 'V6', 'V23', 'V10', 'V17', 'V18']"
65,0.4994636230941034,"['V7', 'V18', 'V21', 'V14', 'V26', 'V17', 'V3', 'V10', 'V30', 'V5', 'V12', 'V19', 'V29', 'V25', 'V11', 'V23', 'V9', 'V28', 'V27', 'V13']"
66,0.7128069968572724,"['V24', 'V19', 'V16', 'V25', 'V21', 'V27', 'V23', 'V10', 'V3', 'V1', 'V8', 'V29', 'V26', 'V30', 'V14', 'V22', 'V17', 'V28', 'V20', 'V4']"
67,0.5815187668491684,"['V18', 'V4', 'V3', 'V27', 'V2', 'V26', 'V19', 'V12', 'V8', 'V21', 'V7', 'V6', 'V22', 'V11', 'V28', 'V10', 'V13', 'V16', 'V14', 'V25']"
68,0.5651077380981554,"['V19', 'V8', 'V28', 'V21', 'V9', 'V30', 'V3', 'V10', 'V13', 'V29', 'V15', 'V27', 'V23', 'V11', 'V7', 'V4', 'V26', 'V17', 'V22', 'V25']"
69,0.6307518531022074,"['V24', 'V18', 'V28', 'V15', 'V4', 'V29', 'V7', 'V11', 'V25', 'V13', 'V19', 'V22', 'V9', 'V6', 'V17', 'V27', 'V12', 'V30', 'V16', 'V14']"
70,0.5651077380981554,"['V26', 'V23', 'V9', 'V18', 'V15', 'V1', 'V22', 'V27', 'V28', 'V14', 'V29', 'V7', 'V25', 'V19', 'V4', 'V11', 'V8', 'V20', 'V3', 'V10']"
71,0.6143408243511944,"['V20', 'V28', 'V19', 'V13', 'V6', 'V2', 'V3', 'V5', 'V18', 'V24', 'V27', 'V17', 'V1', 'V9', 'V8', 'V15', 'V22', 'V12', 'V23', 'V26']"
72,0.4994636230941034,"['V3', 'V12', 'V25', 'V28', 'V13', 'V1', 'V10', 'V18', 'V29', 'V14', 'V23', 'V5', 'V4', 'V22', 'V15', 'V11', 'V17', 'V21', 'V8', 'V20']"
73,0.4994636230941034,"['V22', 'V1', 'V21', 'V30', 'V3', 'V27', 'V28', 'V4', 'V2', 'V10', 'V17', 'V8', 'V23', 'V16', 'V20', 'V9', 'V15', 'V12', 'V14', 'V25']"
74,0.6635739106042333,"['V16', 'V8', 'V6', 'V29', 'V21', 'V17', 'V20', 'V28', 'V26', 'V14', 'V22', 'V12', 'V10', 'V4', 'V11', 'V7', 'V27', 'V19', 'V30', 'V23']"
75,0.6963959681062595,"['V21', 'V4', 'V28', 'V7', 'V27', 'V25', 'V10', 'V17', 'V5', 'V26', 'V22', 'V11', 'V2', 'V8', 'V9', 'V18', 'V13', 'V14', 'V16', 'V12']"
